"checkbox-themes","radio-consulter-offres-publiques","radio-rejoindre","checkbox-pourquoi","checkbox-souhaits","radio-type-contrat","radio-lieu","text-lieu","number-salaire-min","number-salaire-souhait","checkbox-acceptation","text-condition","radio-genre","radio-metiers","text-autre-metier","number-experience","date"
"Écologie, Agriculture et alimentation, Interministériel","Oui","Non","Servir l'intérêt général","Au sein d'une région, Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En métropole","","2000","2000","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","Équipe inclusive, genre pas des bourgeois qui fassent de l'inclusion numérique (lol)","Refuse de se prononcer","Développement fullstack","Coach agile, Design UI/UX","20","2019-07-01T18:08:39+00:00"
"Écologie, Défense, Santé, Éducation nationale, Enseignement supérieur et recherche, Renseignement, lutte contre la fraude, Interministériel","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","Freelance, portage salarial","En région parisienne","","4500","5500","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","Absence de hiérarchie infantilisante ; Autonomie dans les projets ; Valorisation réelle du poste avec évolution possible.","Une femme","Data scientist","","7","2019-07-01T18:06:08+00:00"
"Écologie, Affaires étrangères, Défense, Renseignement, lutte contre la fraude, Interministériel","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour ne pas faire uniquement des tâches techniques","Au sein d'un ministère","CDI","En région parisienne","75","2200","2400","Avoir des horaires de travail flexibles","","Un homme","Autre","Conseil","1","2019-07-01T17:59:38+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sécurité / secours, Renseignement, lutte contre la fraude","Oui","Non","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En métropole","télétravail avec déplacements très ponctuels","2000","5000","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","temps partiel","Un homme","Développement fullstack","","17","2019-07-01T17:33:54+00:00"
"Éducation nationale, Culture, Sports","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Travailler au côté de métiers différents du mien, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En région parisienne","Paris","1800","2200","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil)","","Une femme","Autre","Commerciale","20","2019-07-01T17:13:25+00:00"
"Enseignement supérieur et recherche, Sécurité / secours, Interministériel","Oui","Non","Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Loire Atlantique","2496","2800","Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Administration système","","25","2019-07-01T17:04:02+00:00"
"Écologie, Justice, Affaires étrangères, Santé, Agriculture et alimentation, Sécurité / secours, Renseignement, lutte contre la fraude","Non","Je ne sais pas","Donner du sens à mon travail, Avoir un impact sur le quotidien","Au sein d'un ministère","CDI","En région parisienne","","4500","5000","Pouvoir travailler sous GNU/Linux","","Un homme","Autre","VP engineering: combinaison de lead Dev backend +manager","10","2019-07-01T17:01:35+00:00"
"Écologie, Justice, Affaires étrangères, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","Paris","3200","4000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","(aucune de ces conditions n'est rédhibitoire indépendamment, mais elles sont toutes appréciées)","Une femme","Product management","","8","2019-07-01T16:57:38+00:00"
"Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Renseignement, lutte contre la fraude, Interministériel","Non","Non","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","Nord","2500","2500","Pouvoir travailler à 80-100% en télétravail, Travailler en méthodes agiles","","Une femme","Product management","","3","2019-07-01T16:43:01+00:00"
"Écologie, Éducation nationale, Enseignement supérieur et recherche, Culture, Sécurité / secours","Non","Non","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Gironde","2000","2700","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement backend","","6","2019-07-01T16:42:58+00:00"
"Enseignement supérieur et recherche, Renseignement, lutte contre la fraude","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un département, Au sein d'une commune","CDI","En métropole","Grenoble","2700","3000","Travailler en méthodes agiles, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Un homme","Développement backend","Développeur .Net Backend Web / Mobile / Desktop","14","2019-07-01T16:30:23+00:00"
"Écologie, Éducation nationale, Enseignement supérieur et recherche, Agriculture et alimentation","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Pour avoir un travail stable, Pour réorienter ma carrière","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Bretagne ou Finistère","1500","2200","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Data scientist","","2","2019-07-01T16:30:14+00:00"
"Écologie, Économie, Sécurité / secours, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour réorienter ma carrière","Au sein d'un ministère","CDI","En région parisienne","paris","4000","5600","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","Être autonome dans son travail. Ne pas devoir faire plusieurs réunions chaque jour ou régulièrement.","Un homme","Développement fullstack","","4","2019-07-01T16:07:22+00:00"
"Écologie, Santé, Agriculture et alimentation, Sécurité / secours","Oui","Oui","Servir l'intérêt général","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Grenoble","2800","3000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","Avoir une carrière mixte de 15 ans d'expérience dont 11 ans dans le public et ne pas avoir une reprise d'expérience niant 10 années d'effort comme actuellement","Un homme","Data scientist","Géomaticien expert open source et données. Agronome. ","11","2019-07-01T16:06:58+00:00"
"Écologie, Affaires étrangères, Interministériel","Oui","Non","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une commune","Freelance, portage salarial","En métropole","Nantes ","2500","3500","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Pouvoir démarrer en autonomie des serveurs","","Une femme","Communication","","9","2019-07-01T16:06:50+00:00"
"Écologie, Justice, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Renseignement, lutte contre la fraude","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour ne pas faire uniquement des tâches techniques","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Bordeaux","4100","5200","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","10","2019-07-01T15:59:25+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Agriculture et alimentation, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Oui","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère","CDD (2-3 ans)","En région parisienne","","4000","4550","Pouvoir travailler 1-2 jours par semaine en télétravail","Pouvoir utiliser les outils les plus performants pour chaque tâche, même si ce ne sont pas ceux auxquels je suis formée. ","Une femme","Design UI/UX","Design de services","20","2019-07-01T15:57:13+00:00"
